"IATA","Airport Name","City Name","Country Name","Population"
"BYR","Laeso","Laeso","Denmark","Missing[""NotAvailable""]"
"BYU","Bayreuth","Bayreuth","Germany",73503
"BZI","Balikesir","Balikesir (TR)","Turkey",241404
"BZI","Balikesir Airport","Balikesir","Turkey",241404
"BZO","Bolzano","Bolzano","Italy",97253
"BZO","Bolzano/Bozen","Bolzano/Bozen","Italy","Missing[""NotAvailable""]"
"BZR","Beziers","Beziers","France",72462
"BZZ","Brize Norton","Brize Norton","United Kingdom","Missing[""NotAvailable""]"
"CAG","Cagliari","Cagliari","Italy",161451
"CAL","Campbeltown","Campbeltown","United Kingdom",5070
"CAT","Cascais","Cascais","Portugal",36436
"CAX","Carlisle","Carlisle","United Kingdom",72633
"CBG","Cambridge","Cambridge","United Kingdom",128488
"CBG","Cambridge (GB)","Cambridge (GB)","United Kingdom",128488
"CCF","Carcassonne","Carcassonne","France",47620
"CDG","Paris Charles de Gaulle Apt","Paris","France",2233818
"CDG","Paris Charles de Gaulle Apt","Paris (FR)","France",2233818
"CDT","Castellon de la Plana","Castellon de la Plana","Spain",172110
"CEG","Chester","Chester","United Kingdom",118925
"CEQ","Cannes Mandelieu","Cannes","France",69700
"CER","Cherbourg","Cherbourg","France",26655
"CFE","Clermont-Ferrand","Clermont-Ferrand","France",138700
"CFN","Donegal","Donegal","Ireland Republic of","Missing[""NotAvailable""]"
"CFR","Caen","Caen","France",111200
"CFU","Kerkyra","Kerkyra","Greece",27003
"CFW","Cardiff (GB) 00","Cardiff (GB) 00","United Kingdom","Missing[""NotAvailable""]"
"CGN","Cologne/Bonn Apt","Cologne/Bonn","Germany","Missing[""NotAvailable""]"
"CHQ","Chania","Chania","Greece",54565
"CHR","Chateauroux","Chateauroux","France",47127
"CIA","Rome Ciampino Apt","Rome (IT)","Italy",2612068
"CIY","Comiso","Comiso","Italy",29399
"CKZ","Canakkale","Canakkale","Turkey",86544
"CLY","Calvi","Calvi","France",5420
"CMF","Chambery","Chambery","France",60900
